Author,Genres
Anne McCaffrey and Elizabeth Moon,Fantasy
Samuel R. Delany,Fantasy
George R. R. Martin,Fantasy
L. Frank Baum,Fantasy
A. Merritt,Fantasy
Chris Pierson,Fantasy
Jennifer Fallon,Fantasy
Robert Jordan,Fantasy
H. Rider Haggard,Fantasy
"
Kami Garcia
Margaret Stohl
",Fantasy
Larry Niven,Fantasy
Brandon Sanderson,Fantasy
Marianne Curley,Fantasy
Tom Baker,Fantasy
Terry Brooks,Fantasy
Fritz Leiber,Fantasy
Terry Brooks,Fantasy
Brandon Mull,Fantasy
Alan Dean Foster,Fantasy
Roger Zelazny,Fantasy
Randall Garrett,Fantasy
Emma Bull,Fantasy
Phyllis Eisenstein,Fantasy
J. K. Rowling,Fantasy
Amelia Atwater-Rhodes,Fantasy
Mervyn Peake,Fantasy
Bruce Coville,Fantasy
Madeleine L'Engle,Fantasy
Marion Zimmer Bradley,Fantasy
Angie Sage,Fantasy
Terry Brooks,Fantasy
Victor Kelleher,Fantasy
Eoin Colfer,Fantasy
Evangeline Walton,Fantasy
Philip Pullman,Fantasy
James Patterson,Fantasy
A. Merritt,Fantasy
Katherine Kurtz,Fantasy
Piers Anthony,Fantasy
Patricia A. McKillip,Fantasy
Guy Gavriel Kay,Fantasy
David Farland,Fantasy
Diana S. Zimmerman,Fantasy
C. S. Lewis,Fantasy
Joe Dever,Fantasy
H. Beam Piper,Fantasy
Diane Duane,Fantasy
Mark Twain,Fantasy
Carlo Collodi,Fantasy
Mercedes Lackey,Fantasy
Lev Grossman,Fantasy
R.A. Salvatore,Fantasy
Sherwood Smith,Fantasy
Talbot Mundy,Fantasy
Lin Carter,Fantasy
William Sleator,Fantasy
Chris Pierson,Fantasy
Sam Enthoven,Fantasy
Evangeline Walton,Fantasy
Robert Jordan,Fantasy
Robin Jarvis,Fantasy
Derek Landy,Fantasy
George Meredith,Fantasy
Marion Zimmer Bradley,Fantasy
David Weber,Fantasy
Juliet Marillier,Fantasy
Poul Anderson,Fantasy
Steven Brust,Fantasy
Brian Jacques,Fantasy
Juliet Marillier,Fantasy
Terry Goodkind,Fantasy
Catherine Storr,Fantasy
Harry Turtledove,Fantasy
Terry Goodkind,Fantasy
Paul Stewart,Fantasy
Edgar Rice Burroughs,Fantasy
Lawrence Watt-Evans,Fantasy
Rob MacGregor,Fantasy
Lynn Flewelling,Fantasy
Jane Leslie Conly,Fantasy
Erin HunterCherith BaldryKate CaryVictoria HolmesDan JolleyTui T. Sutherland,Fantasy
Rick Riordan,Fantasy
Diane Duane,Fantasy
Terry Goodkind,Fantasy
T. H. White,Fantasy
S. M. Stirling,Fantasy
Erin HunterCherith BaldryKate CaryVictoria HolmesDan JolleyTui T. Sutherland,Fantasy
Brandon Sanderson,Fantasy
L. Neil Smith,Fantasy
Steven Erikson,Fantasy
Robert Jordan,Fantasy
Alexander M. Phillips,Fantasy
Lee Yeongdo,Fantasy
Larry Niven and Jerry Pournelle,Fantasy
C. S. Lewis,Fantasy
Terry Brooks,Fantasy
Gregory Benford,Fantasy
Raymond E. Feist,Fantasy
Guy Gavriel Kay,Fantasy
L. Frank Baum,Fantasy
Orson Scott Card,Fantasy
Glen Cook,Fantasy
Katherine Roberts,Fantasy
Brian Jacques,Fantasy
Elizabeth Kerner,Fantasy
Roger Zelazny,Fantasy
Robert Silverberg,Fantasy
Robert L. Forward,Fantasy
Raymond E. Feist,Fantasy
